type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6
white,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
white,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6
white,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
white,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
white,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
white,6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6
white,6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7
white,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
white,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
white,6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
white,8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
white,7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5
white,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6
white,6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6
white,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6
white,7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5
white,6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
white,6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
white,6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
white,6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5
white,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
white,6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
white,6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6
white,5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6
white,5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
white,6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7
white,7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7
white,8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6
white,6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
white,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5
white,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
white,7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6
white,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7
white,6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6
white,7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6
white,7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5
white,6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7
white,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
white,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6
white,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
white,5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
white,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
white,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
white,6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
white,10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6
white,6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6
white,6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,6
white,7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5
white,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
white,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
white,6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7
white,6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7
white,6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6
white,6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
white,7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
white,7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5
white,6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
white,7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
white,6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5
white,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
white,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
white,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
white,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
white,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
white,5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6
white,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
white,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
white,7.2,0.28,0.26,12.5,0.046,48,179,0.9975,3.1,0.52,9,6
white,7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6
white,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
white,6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7
white,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
white,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7
white,6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5
white,6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
white,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
white,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
white,6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
white,6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6
white,7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6
white,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
white,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
white,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
white,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
white,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5
white,6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6
white,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
white,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
white,6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5
white,7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5
white,6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6
white,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
white,5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7
white,6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5
white,6.3,0.14,0.39,1.2,0.044,26,116,0.992,3.26,0.53,10.3,6
white,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
white,7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
white,7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
white,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
white,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
white,7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
white,7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
white,7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
white,6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5
white,7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
white,7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6
white,7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7
white,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
white,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
white,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
white,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7
white,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
white,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
white,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
white,7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5
white,7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5
white,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
white,6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
white,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
white,7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4
white,7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,8
white,6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7
white,6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5
white,6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8
white,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
white,6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5
white,6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7
white,6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6
white,6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8
white,6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6
white,6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6
white,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3
white,5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5
white,6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
white,6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
white,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
white,7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5
white,6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5
white,5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7
white,6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,7
white,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
white,6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
white,6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7
white,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
white,6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6
white,6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
white,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
white,7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5
white,5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5
white,6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
white,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
white,6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5
white,7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6
white,6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
white,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
white,7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
white,8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6
white,6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5
white,6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6
white,7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7
white,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6
white,7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5
white,7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7
white,7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6
white,7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
white,6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6
white,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
white,5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6
white,5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5
white,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
white,6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
white,6.2,0.18,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,6
white,6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6
white,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6
white,7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6
white,7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6
white,7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6
white,7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7
white,7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6
white,6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6
white,6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6
white,5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,6
white,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
white,6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6
white,5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5
white,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
red,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
red,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
red,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
red,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
red,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5
red,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
red,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
red,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
red,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
red,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
red,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5
red,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
red,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
red,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5
red,8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
red,8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
red,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4
red,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6
red,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6
red,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5
red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
red,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
red,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
red,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
red,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5
red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
red,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5
red,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6
red,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5
red,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
red,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5
red,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
red,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5
red,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
red,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
red,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
red,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
red,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
red,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6
red,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
red,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5
red,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
red,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5
red,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5
red,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5
red,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5
red,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
red,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
red,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
red,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5
red,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
red,7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5
red,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
red,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
red,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5
red,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
red,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
red,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5
red,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
red,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
red,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
red,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
red,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
red,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
red,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
red,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6
red,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
red,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
red,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
red,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
red,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5
red,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
red,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
red,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
red,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
red,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
red,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
red,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5
red,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5
red,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
red,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
red,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
red,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5
red,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5
red,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
red,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5
red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
red,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
red,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
red,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5
red,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
red,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5
red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
red,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
red,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6
red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
red,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5
red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
red,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5
red,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
red,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
red,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5
red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
red,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
red,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
red,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6
red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
red,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6
red,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6
red,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
red,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
red,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5
red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
red,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5
red,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
red,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5
red,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
red,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
red,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
